datetime,difftime,segundos,valor,porcentaje,deconstruccion,aux1,aux2
2025-09-27 18:13:49,773.368227,773,413351.32,8.982066589,2,0,0
2025-09-27 18:13:49,773.368227,773,413351.32,8.982066589,2,0,0
2025-09-27 18:13:50,773.966764,773,413349.63,8.981621376,2,0,0
2025-09-27 18:13:50,773.966764,773,413351.32,8.982066589,2,0,0
2025-09-27 18:13:50,774.629538,774,413349.63,8.981621376,2,0,0
2025-09-27 18:13:50,774.629538,774,413351.32,8.982066589,2,0,0
2025-09-27 18:13:51,775.552887,775,413329.73,8.976372562,2,0,0
2025-09-27 18:13:51,775.552887,775,413349.63,8.981621376,2,0,0
2025-09-27 18:13:52,776.168768,776,413329.73,8.976372562,2,0,0
2025-09-27 18:13:52,776.168768,776,413349.63,8.981621376,2,0,0
2025-09-27 18:13:53,776.805337,776,413329.73,8.976372562,2,0,0
2025-09-27 18:13:53,776.805337,776,413349.63,8.981621376,2,0,0
2025-09-27 18:13:53,777.383209,777,413144.36,8.927499712,2,0,0
2025-09-27 18:13:53,777.384721,777,413329.73,8.976372562,2,0,0
2025-09-27 18:13:54,778.323483,778,413144.36,8.927499712,2,0,0
2025-09-27 18:13:54,778.323483,778,413144.36,8.927499712,2,0,0
2025-09-27 18:13:55,778.858708,778,413144.36,8.927499712,2,0,0
2025-09-27 18:13:55,778.860721,778,413144.36,8.927499712,2,0,0
2025-09-27 18:13:55,779.383815,779,413144.36,8.927499712,2,0,0
2025-09-27 18:13:55,779.383815,779,413144.36,8.927499712,2,0,0
2025-09-27 18:13:56,780.137133,780,413144.36,8.927499712,2,0,0
2025-09-27 18:13:56,780.137133,780,413144.36,8.927499712,2,0,0
2025-09-27 18:13:57,780.736333,780,413144.36,8.927499712,2,0,0
2025-09-27 18:13:57,780.737112,780,413144.36,8.927499712,2,0,0
2025-09-27 18:13:57,781.41049,781,413144.36,8.927499712,2,0,0
2025-09-27 18:13:57,781.411687,781,413144.36,8.927499712,2,0,0
2025-09-27 18:13:58,781.970505,781,413144.36,8.927499712,2,0,0
2025-09-27 18:13:58,781.970505,781,413144.36,8.927499712,2,0,0
2025-09-27 18:13:58,782.477071,782,412750.01,8.823526112,2,0,0
2025-09-27 18:13:58,782.482125,782,413144.36,8.927499712,2,0,0
2025-09-27 18:14:00,783.827568,783,412750.01,8.823526112,2,0,0
2025-09-27 18:14:00,783.827568,783,412750.01,8.823526112,2,0,0
2025-09-27 18:14:01,785.020364,785,412595.53,8.78279684,2,0,0
2025-09-27 18:14:01,785.020364,785,412750.01,8.823526112,2,0,0
2025-09-27 18:14:01,785.611027,785,412595.53,8.78279684,2,0,0
2025-09-27 18:14:01,785.611027,785,412750.01,8.823526112,2,0,0
2025-09-27 18:14:11,795.313945,795,412595.53,8.78279684,2,0,0
2025-09-27 18:14:11,795.313945,795,412595.53,8.78279684,2,0,0
2025-09-27 18:14:13,796.750094,796,412591.03,8.781612486,2,0,0
2025-09-27 18:14:13,796.750094,796,412595.53,8.78279684,2,0,0
2025-09-27 18:14:14,798.645128,798,412508.65,8.759892977,2,0,0
2025-09-27 18:14:14,798.645128,798,412589.24,8.78113848,2,0,0
2025-09-27 18:14:16,799.731259,799,412508.65,8.759892977,2,0,0
2025-09-27 18:14:16,799.731259,799,412589.24,8.78113848,2,0,0
2025-09-27 18:14:17,801.275135,801,412508.65,8.759892977,2,0,0
2025-09-27 18:14:17,801.279798,801,412508.65,8.759892977,2,0,0
2025-09-27 18:14:21,805.021508,805,407156.67,7.34881652,2,0,0
2025-09-27 18:14:21,805.023523,805,412508.65,8.759892977,2,0,0
2025-09-27 18:14:22,805.988455,805,407156.67,7.34881652,2,0,0
2025-09-27 18:14:22,805.989969,805,409136.43,7.870790116,2,0,0
2025-09-27 18:14:23,807.069405,807,407156.67,7.34881652,2,0,0
2025-09-27 18:14:23,807.071421,807,407381.16,7.408005502,2,0,0
2025-09-27 18:14:24,808.448076,808,407156.67,7.34881652,2,0,0
2025-09-27 18:14:24,808.454683,808,407156.67,7.34881652,2,0,0
2025-09-27 18:14:25,809.160124,809,407156.67,7.34881652,2,0,0
2025-09-27 18:14:25,809.160124,809,407156.67,7.34881652,2,0,0
2025-09-27 18:14:26,809.953115,809,407156.67,7.34881652,2,0,0
2025-09-27 18:14:26,809.953115,809,407156.67,7.34881652,2,0,0
2025-09-27 18:14:27,811.033344,811,407156.67,7.34881652,2,0,0
2025-09-27 18:14:27,811.033344,811,407156.67,7.34881652,2,0,0
2025-09-27 18:14:28,811.980219,811,407156.67,7.34881652,2,0,0
2025-09-27 18:14:28,811.980219,811,407156.67,7.34881652,2,0,0
2025-09-27 18:14:29,812.777605,812,407156.67,7.34881652,2,0,0
2025-09-27 18:14:29,812.777605,812,407156.67,7.34881652,2,0,0
2025-09-27 18:14:30,813.785937,813,407156.67,7.34881652,2,0,0
2025-09-27 18:14:30,813.785937,813,407156.67,7.34881652,2,0,0
2025-09-27 18:14:31,815.379059,815,407156.67,7.34881652,2,0,0
2025-09-27 18:14:31,815.379059,815,407156.67,7.34881652,2,0,0
2025-09-27 18:14:32,816.202954,816,407129.39,7.341622708,2,0,0
2025-09-27 18:14:32,816.202954,816,407156.67,7.34881652,2,0,0
2025-09-27 18:14:33,816.961894,816,407053.16,7.321525179,2,0,0
2025-09-27 18:14:33,816.961894,816,407129.39,7.341622708,2,0,0
2025-09-27 18:14:34,818.018514,818,407053.16,7.321525179,2,0,0
2025-09-27 18:14:34,818.020577,818,407129.39,7.341622708,2,0,0
2025-09-27 18:14:35,818.862867,818,407053.16,7.321525179,2,0,0
2025-09-27 18:14:35,818.865434,818,407129.39,7.341622708,2,0,0
2025-09-27 18:14:35,819.608111,819,407053.16,7.321525179,2,0,0
2025-09-27 18:14:35,819.610123,819,407053.16,7.321525179,2,0,0
2025-09-27 18:14:36,820.3835,820,407053.16,7.321525179,2,0,0
2025-09-27 18:14:36,820.3835,820,407053.16,7.321525179,2,0,0
2025-09-27 18:14:37,821.095312,821,407053.16,7.321525179,2,0,0
2025-09-27 18:14:37,821.097325,821,407053.16,7.321525179,2,0,0
2025-09-27 18:14:38,821.777445,821,407053.16,7.321525179,2,0,0
2025-09-27 18:14:38,821.777445,821,407053.16,7.321525179,2,0,0
2025-09-27 18:14:38,822.387658,822,406825.22,7.261426744,2,0,0
2025-09-27 18:14:38,822.392978,822,407053.16,7.321525179,2,0,0
2025-09-27 18:14:39,822.955725,822,406825.22,7.261426744,2,0,0
2025-09-27 18:14:39,822.955725,822,407053.16,7.321525179,2,0,0
2025-09-27 18:14:40,823.997998,823,406825.22,7.261426744,2,0,0
2025-09-27 18:14:40,823.997998,823,407053.16,7.321525179,2,0,0
2025-09-27 18:14:40,824.519955,824,406825.22,7.261426744,2,0,0
2025-09-27 18:14:40,824.519955,824,406915.64,7.285266909,2,0,0
2025-09-27 18:14:41,825.5738,825,406825.22,7.261426744,2,0,0
2025-09-27 18:14:41,825.5738,825,406881.17,7.276179596,2,0,0
2025-09-27 18:14:42,826.264855,826,406825.22,7.261426744,2,0,0
2025-09-27 18:14:42,826.264855,826,406881.17,7.276179596,2,0,0
2025-09-27 18:14:43,827.402958,827,406825.22,7.261426744,2,0,0
2025-09-27 18:14:43,827.402958,827,406881.17,7.276179596,2,0,0
2025-09-27 18:14:44,828.50237,828,406825.22,7.261426744,2,0,0
2025-09-27 18:14:44,828.50237,828,406881.17,7.276179596,2,0,0
2025-09-27 18:14:46,829.952553,829,406825.22,7.261426744,2,0,0
2025-09-27 18:14:46,829.952553,829,406847.84,7.267393073,2,0,0
2025-09-27 18:14:46,830.515504,830,406825.22,7.261426744,2,0,0
2025-09-27 18:14:46,830.515504,830,406847.84,7.267393073,2,0,0
2025-09-27 18:14:48,831.833796,831,406825.22,7.261426744,2,0,0
2025-09-27 18:14:48,831.833796,831,406825.22,7.261426744,2,0,0
2025-09-27 18:14:48,832.502794,832,406825.22,7.261426744,2,0,0
